,formula,bec_odd,coord_env,sym,spgnum,Eg,volume,eng/atom,Gvoigt,kvoigt,poisson,cauchy,sxx,syy,szz,sxy,syz,sxz,exx,eyy,ezz,odd_atom,atcharge,zxx,zyy,zzz,a,b,c,a^-2,b^-2,c^-2,alpha,beta,gamma,E_p,E_a,E_g,group,period,E_aff,block,R_vdw,R_at,atmass,atnum
mp-7650,RbScO2,False,O:6,hexagonal,194,3.4540999999999995,120.37759838027557,-6.95917605,59.0,95.0,0.26,28.0,203.0,203.0,192.0,35.0,35.0,70.0,25.735524898989564,25.73553110103409,11.284154000000003,7,8,-2.6586081094735645,-2.6586081094735645,-2.1278776280043643,3.230899714554823,3.230899714554823,12.657969609646385,0.09579725041813157,0.09579725041813157,0.006241254651051729,90.0,90.0,119.99999999922511,3.44,21.36,0.304575,16,2,1.4611135,p,152.0,,15.999,8
mp-865427,KSrCO3F,False,T:5,hexagonal,187,4.0934,116.57962105959902,-6.5348488,,,,,,,,,,,13.28213409605184,13.282135903882232,7.925307000000002,6,9,-0.9155154649287618,-0.9155154649287622,-1.8260070070695673,5.227722737220155,5.227722737220155,4.681055843188325,0.0365910530619249,0.0365910530619249,0.045636502740000744,90.0,90.0,119.99999999983146,3.98,24.8,0.344443,17,2,3.4011897000000006,p,147.0,,18.998403163,9
mp-570935,LiI,False,T:4,hexagonal,186,4.3818,134.03828432280324,-2.949223455,5.0,15.0,0.34,7.0,22.0,22.0,24.0,5.0,5.0,5.0,4.976076010273058,4.976077989626606,5.179059,3,53,-1.0181508184090833,-1.0181508184090846,-1.0474528209203535,4.497237517971752,4.497237517971752,7.26747393359593,0.04944340253236633,0.04944340253236633,0.01893359288178896,90.0,90.0,119.99999999922416,2.66,13.95,0.21951759999999998,17,5,3.0590368,p,198.0,,126.90447,53
mp-736,Li3P,False,H:11,hexagonal,194,0.7410999999999999,117.63880437731173,-3.48098072625,36.0,40.0,0.17,-2.0,98.0,98.0,106.0,24.0,24.0,38.0,11.351001523152274,11.35099842360106,11.528000000000002,7,15,-2.540100225411893,-2.540100225411894,-2.4928384442447054,4.201622663611622,4.201622663611622,7.507753184479438,0.05664556409336532,0.05664556409336532,0.017741078856746178,90.0,90.0,119.9999999995216,2.19,13.33,0.206931,15,3,0.746607,p,180.0,128.0,30.973761998,15
mp-20329,InAgO2,False,T:4,hexagonal,194,0.24409999999999998,123.58940612995771,-4.9218247,40.0,113.0,0.37,52.0,157.0,157.0,281.0,12.0,12.0,47.0,9.742283182346439,9.742280817635887,8.110726,7,8,-1.985093506243187,-1.9850935062431887,-2.317659650487921,3.2858536074842246,3.2858536074842246,12.548657602517872,0.0926197445010568,0.0926197445010568,0.006350464038439701,90.0,90.0,119.99999999956627,3.44,21.36,0.304575,16,2,1.4611135,p,152.0,,15.999,8
mp-13277,BaLiP,False,TT_1:9,hexagonal,194,0.9631000000000003,155.6618307089632,-3.990471251666667,30.0,39.0,0.2,-12.0,82.0,82.0,66.0,30.0,30.0,32.0,,,,5,15,-3.509417837909976,-3.5094178379099734,-3.9394705786425455,4.479666339205511,4.479666339205511,8.567048561959085,0.04983203983748861,0.04983203983748861,0.013625032366497357,90.0,90.0,119.99999999945828,2.19,13.33,0.206931,15,3,0.746607,p,180.0,128.0,30.973761998,15
mp-13275,NaSrP,False,TT_1:9,hexagonal,189,1.2357,231.36381807055497,-3.6050828622222224,,,,,,,,,,,18.097787490848276,18.09779050914964,19.209238,8,15,-3.044001396602215,-3.044001396602215,-3.669597607250486,7.60065393165815,7.60065393165815,4.44359836442733,0.01731004042467997,0.01731004042467997,0.05064428026573375,90.0,90.0,120.00000000008366,2.19,13.33,0.206931,15,3,0.746607,p,180.0,128.0,30.973761998,15
mp-28797,YHSe,False,HP:12,hexagonal,187,1.5168999999999997,50.45280099633733,-5.886528516666666,64.0,86.0,0.2,-21.0,164.0,164.0,195.0,64.0,64.0,61.0,14.117710039206823,14.117710960830582,15.992503,2,34,-2.5528311964665136,-1.7390355324960372,-1.7390355324960374,3.7944688914004696,3.7944688914004696,3.851363515407153,0.06945411897971263,0.06945411897971263,0.06741724111438373,90.0,90.0,119.9999999992293,2.55,14.34,0.2240328,16,4,2.02067,p,190.0,140.0,78.971,34
mp-8882,GaP,False,T:4,hexagonal,186,1.3002000000000002,83.39480594679503,-4.6197531025,52.0,76.0,0.23,3.0,151.0,151.0,176.0,42.0,42.0,53.0,12.274502694822994,12.274497305398267,12.985000000000001,3,15,-2.020163835388024,-2.0201638353880247,-2.1648418492394583,3.8336656866330756,3.8336656866330756,6.320168215384359,0.06804113109597096,0.06804113109597096,0.025034719230908678,90.0,90.0,119.99999999910274,2.19,13.33,0.206931,15,3,0.746607,p,180.0,128.0,30.973761998,15
mp-13276,SrLiP,False,TT_1:9,hexagonal,194,1.3519999999999999,134.24819186136818,-3.981587695,37.0,45.0,0.18,-17.0,102.0,102.0,71.0,37.0,37.0,41.0,,,,5,15,-3.15743221182208,-3.157432211822081,-3.511824166926213,4.340956715741709,4.340956715741709,7.905608668494536,0.05306755627164173,0.05306755627164173,0.016000346012122368,90.0,90.0,120.00000000015095,2.19,13.33,0.206931,15,3,0.746607,p,180.0,128.0,30.973761998,15
mp-560588,ZnS,False,T:4,hexagonal,186,2.0801,81.16636031080083,-3.5033254125,33.0,69.0,0.29,23.0,115.0,115.0,134.0,27.0,27.0,32.0,8.929497648622373,8.929502352169377,9.43,3,16,-1.892501916837821,-1.9936950836173748,-1.8925019168378208,3.781145399317961,3.781145399317961,6.206159667215611,0.06994444752100429,0.06994444752100429,0.025962954416057775,90.0,90.0,120.00000000042431,2.58,15.31,0.23596,16,3,2.07710403,p,180.0,127.0,32.06,16
mp-672,CdS,False,T:4,hexagonal,186,1.1162,104.86286284361582,-3.161964875,18.0,53.0,0.35,30.0,80.0,80.0,85.0,15.0,15.0,17.0,9.757802780107319,9.757797219831012,10.431442,3,16,-2.11659288687743,-2.189947023528049,-2.11659288687743,4.124738647294899,4.124738647294899,6.7114512246198155,0.058776961087641105,0.058776961087641105,0.022200723268527296,90.0,90.0,119.99999999897089,2.58,15.31,0.23596,16,3,2.07710403,p,180.0,127.0,32.06,16
mp-22896,LaCl3,False,DI:11,hexagonal,176,3.6459999999999995,219.03585925296954,-5.026749925,17.0,33.0,0.28,-5.0,43.0,43.0,65.0,22.0,22.0,13.0,9.115999770087223,9.116000229506298,12.415999999999999,7,17,-0.654771756460516,-1.8263848344761882,-1.5190924985423546,7.433945107178627,7.433945107178627,4.313812488899689,0.018095113027428816,0.018095113027428816,0.05373750185651353,90.0,90.0,120.0000000002583,3.16,16.97,0.263803,17,3,3.612725,p,175.0,,35.45,17
mp-22894,AgI,False,T:4,hexagonal,186,1.3958999999999997,146.3115505439582,-2.4581090225,6.0,25.0,0.39,18.0,34.0,34.0,38.0,5.0,5.0,5.0,7.041000477546994,7.0409995224532835,7.398999999999999,3,53,-1.1797264364410556,-1.1797264364410542,-1.2115277228600165,4.566702328854256,4.566702328854256,7.46217090922824,0.04795066031946139,0.04795066031946139,0.017958481710464082,90.0,90.0,120.00000000019159,2.66,13.95,0.21951759999999998,17,5,3.0590368,p,198.0,,126.90447,53
mp-29751,CsMgI3,False,SS:4,hexagonal,194,3.3159,432.7722735372339,-2.683608475,4.0,8.0,0.38,6.0,17.0,17.0,24.0,-0.0,-0.0,5.0,10.453591514122243,10.453590485921325,18.934991999999998,9,53,-0.8416869466329815,-1.4406350850469183,-1.3181397598502713,8.126428930383117,8.126428930383117,6.9503714768286455,0.01514260231661203,0.01514260231661203,0.02070064921615364,90.0,90.0,120.00000000009173,2.66,13.95,0.21951759999999998,17,5,3.0590368,p,198.0,,126.90447,53
mp-29750,CsMgBr3,False,A:2,hexagonal,194,4.0445,350.7184579378947,-3.142535277,6.0,11.0,0.34,5.0,18.0,18.0,36.0,1.0,1.0,6.0,8.258177487721902,8.25817651228336,16.15169699999999,9,35,-1.316815482565787,-0.8663177084009339,-1.2468436651809938,7.548058614984121,7.548058614984121,6.472092373722618,0.017552115654626853,0.017552115654626853,0.02387319721087612,90.0,90.0,120.0000000001045,2.96,15.88,0.2412578,17,4,3.3635882000000006,p,185.0,,79.904,35
mp-380,ZnSe,False,T:4,hexagonal,186,1.2004,94.8044294904855,-3.087755065,27.0,56.0,0.29,19.0,92.0,92.0,111.0,22.0,22.0,26.0,10.223501039526754,10.223498960575549,10.753000000000004,3,34,-1.9398460559382826,-2.0473022659259934,-1.9398460559382817,3.975444698375107,3.975444698375107,6.532032176254881,0.06327447742931232,0.06327447742931232,0.02343707281267759,90.0,90.0,120.00000000028405,2.55,14.34,0.2240328,16,4,2.02067,p,190.0,140.0,78.971,34
mp-9244,LiBC,False,TL:3,hexagonal,194,0.8987999999999996,46.22141122030018,-6.31362717,170.0,181.0,0.16,32.0,640.0,640.0,194.0,55.0,55.0,276.0,17.459729942264783,17.459729057737597,16.488008000000004,5,6,-3.5189557630559634,-2.0524842260551006,-3.518955763055963,2.7416970288711306,2.7416970288711306,6.950351762543333,0.13303351838694816,0.13303351838694816,0.02070076664879519,90.0,90.0,119.99999999933446,2.55,15.05,0.22477600000000003,14,2,1.262119,p,170.0,91.0,12.011,6
mp-568273,LiI,False,T:6,hexagonal,194,4.224500000000001,108.9102002516334,-2.9130032425,11.0,20.0,0.27,8.0,39.0,39.0,38.0,9.0,9.0,11.0,,,,3,53,-1.281134330202857,-1.2811343302028575,-1.2981799252789323,4.156388769050386,4.156388769050386,6.849653145036578,0.05788521819853993,0.05788521819853993,0.02131389587542495,90.0,90.0,120.00000000028652,2.66,13.95,0.21951759999999998,17,5,3.0590368,p,198.0,,126.90447,53
mp-12814,Ba3SbN,False,O:6,hexagonal,194,0.7075,343.9160210527715,-4.462782734,16.0,27.0,0.32,10.0,57.0,57.0,74.0,3.0,3.0,22.0,26.577384966628408,26.577388033325548,47.573157,9,7,-4.224018933569778,-4.224018933569779,-5.463873160688282,7.484073855619536,7.484073855619536,6.607887791980821,0.017853520672264266,0.017853520672264266,0.022902066990895406,90.0,90.0,120.00000000009419,3.04,18.13,0.26493,15,2,-1.4,p,155.0,92.0,14.007,7
mp-7955,Li3Sb,False,H:11,hexagonal,194,0.5321000000000002,159.0100932179571,-3.092997325,25.0,28.0,0.17,-1.0,73.0,73.0,71.0,16.0,16.0,29.0,12.550000798682799,12.549999201317686,12.079000000000004,7,51,-2.5891566642068695,-2.5891566642068677,-2.4005718264656437,4.639451709656634,4.639451709656634,8.254250052446139,0.04645866035322447,0.04645866035322447,0.014677252229522385,90.0,90.0,119.99999999997122,2.05,11.74,0.19187739999999998,15,5,1.046,p,206.0,159.0,121.76,51
mp-757,Li3As,False,H:11,hexagonal,194,0.6364999999999998,129.52235021835324,-3.30825860125,32.0,35.0,0.16,-3.0,88.0,88.0,91.0,21.0,21.0,35.0,12.156001895866389,12.155998104446523,11.950000000000001,7,33,-2.5336863289696194,-2.533686328969622,-2.446034144824618,4.329596550654007,4.329596550654007,7.729414875640383,0.0533464030842003,0.0533464030842003,0.016738123299639095,90.0,90.0,120.0000000005092,2.18,13.08,0.2068208,15,4,0.804,p,185.0,139.0,74.921595,33
mp-867261,RbSrCO3F,False,T:5,hexagonal,187,4.1259,121.71991659096342,-6.515100227142858,,,,,,,,,,,8.770870022566172,8.770868977501877,6.1199460000000006,6,9,-0.9693328755657401,-0.9693328755657385,-1.7690893217224624,5.269129870520916,5.269129870520916,4.757452094028654,0.036018215660520284,0.036018215660520284,0.0441825881336622,90.0,90.0,119.99999999969171,3.98,24.8,0.344443,17,2,3.4011897000000006,p,147.0,,18.998403163,9
mp-8884,ZnTe,False,T:4,hexagonal,186,1.1007000000000002,118.48801736264534,-2.6694234875,22.0,43.0,0.28,13.0,74.0,74.0,87.0,18.0,18.0,21.0,11.35750112342015,11.35749887667938,11.834999999999999,3,52,-1.8795705073085522,-1.879570507308551,-1.9848838670671576,4.2797300606450515,4.2797300606450515,7.045702346404444,0.05459680713489969,0.05459680713489969,0.020144264538785213,90.0,90.0,119.99999999924879,2.1,12.76,0.20569920000000003,16,5,1.9708759999999999,p,206.0,160.0,127.6,52
mp-8881,AlAs,False,T:4,hexagonal,186,1.6869999999999998,94.24394903891165,-4.6807508475,40.0,67.0,0.26,12.0,125.0,125.0,143.0,32.0,32.0,41.0,11.315999630975263,11.316000369025224,12.021000000000003,3,33,-2.072089821161958,-2.0720898211619625,-2.2370720893679485,4.003408753839698,4.003408753839698,6.580091519128175,0.06239361245517352,0.06239361245517352,0.02309596602064275,90.0,90.0,120.00000000015253,2.18,13.08,0.2068208,15,4,0.804,p,185.0,139.0,74.921595,33
mp-8880,AlP,False,T:4,hexagonal,186,1.9714,83.4378225866286,-5.1849922525,47.0,83.0,0.27,17.0,151.0,151.0,169.0,38.0,38.0,48.0,10.265497790265654,10.265502209950562,11.026999999999997,3,15,-2.1604108011415497,-2.1604108011415506,-2.3233731247060674,3.860220836973491,3.860220836973491,6.33739684638088,0.06710821676531203,0.06710821676531203,0.02489878718420681,90.0,90.0,120.00000000059397,2.19,13.33,0.206931,15,3,0.746607,p,180.0,128.0,30.973761998,15
mp-12779,CdTe,False,T:4,hexagonal,186,0.6198000000000001,145.82266521240584,-2.48708277,13.0,35.0,0.33,16.0,54.0,54.0,62.0,11.0,11.0,13.0,12.309501204755707,12.30949879534277,12.685999999999996,3,52,-2.093505127720597,-2.1883042970275874,-2.093505127720597,4.585689526574964,4.585689526574964,7.520396767154262,0.04755439982612043,0.04755439982612043,0.01768147502354437,90.0,90.0,120.00000000005384,2.1,12.76,0.20569920000000003,16,5,1.9708759999999999,p,206.0,160.0,127.6,52
mp-661,AlN,False,T:4,hexagonal,186,4.054000000000001,42.52728336284192,-7.444918585,122.0,195.0,0.24,16.0,376.0,376.0,353.0,113.0,113.0,124.0,8.226583546538057,8.226585453467147,9.742615999999998,3,7,-2.50195072839005,-2.5019507283900473,-2.6660030065331375,3.1132232023411675,3.1132232023411675,4.983042573440965,0.1031761891410565,0.1031761891410565,0.04027270535373901,90.0,90.0,120.00000000051264,3.04,18.13,0.26493,15,2,-1.4,p,155.0,92.0,14.007,7
mp-3924,LiNbO2,False,O:6,hexagonal,194,1.5926999999999998,80.3400550239757,-7.313556705,111.0,161.0,0.23,53.0,408.0,408.0,243.0,59.0,59.0,148.0,19.769015730969045,19.76900726905736,9.849074999999997,7,8,-1.8299602240822392,-1.82996022408224,-1.566345155744747,2.891273203806665,2.891273203806665,10.385047974528813,0.11962494127505037,0.11962494127505037,0.009272204163465199,90.0,90.0,120.00000000084292,3.44,21.36,0.304575,16,2,1.4611135,p,152.0,,15.999,8
mp-841,Li2O2,False,FO:7,hexagonal,194,1.9747999999999999,67.44110583271919,-4.8387792975,53.0,72.0,0.21,18.0,163.0,163.0,166.0,36.0,36.0,54.0,7.460500772655971,7.460499227447747,12.431000000000003,7,8,-1.0578860678050788,-1.057886067805079,-0.9712463405389062,3.121653412412175,3.121653412412175,7.555983879272801,0.10261967477836438,0.10261967477836438,0.017515315098718225,90.0,90.0,120.00000000067145,3.44,21.36,0.304575,16,2,1.4611135,p,152.0,,15.999,8
mp-10485,BaLiSb,False,TT_1:9,hexagonal,194,0.7058999999999997,194.62704620062613,-3.5975294216666662,24.0,29.0,0.18,-14.0,65.0,65.0,42.0,25.0,25.0,27.0,18.96319077855474,18.96319422144255,34.034712000000006,5,51,-3.48357489666229,-3.483574896662291,-3.704735955464503,4.880424382109878,4.880424382109878,8.965719596904679,0.04198409767162444,0.04198409767162444,0.01244026683183577,90.0,90.0,119.99999999995995,2.05,11.74,0.19187739999999998,15,5,1.046,p,206.0,159.0,121.76,51
mp-1018040,MgSe,False,T:4,hexagonal,186,2.5854999999999997,107.89323495367046,-3.80129779,21.0,31.0,0.23,-1.0,62.0,62.0,62.0,16.0,16.0,24.0,7.156360055188287,7.154653325224348,7.677921000000001,3,34,-1.8782695472209054,-1.9608259358802989,-1.8782695472209046,4.2200241720334,4.2200241720334,6.786811036860067,0.05615263269908739,0.05615263269908739,0.021710432994471566,90.0,90.0,119.99999999962715,2.55,14.34,0.2240328,16,4,2.02067,p,190.0,140.0,78.971,34
