,formula,bec_odd,coord_env,sym,spgnum,Eg,volume,eng/atom,Gvoigt,kvoigt,poisson,cauchy,sxx,syy,szz,sxy,syz,sxz,exx,eyy,ezz,odd_atom,atcharge,zxx,zyy,zzz,a,b,c,a^-2,b^-2,c^-2,alpha,beta,gamma,E_p,E_a,E_g,group,period,E_aff,block,R_vdw,R_at,atmass,atnum
mp-30250,YAgO2,False,T:4,hexagonal,194,2.4154999999999998,136.5292943390513,-7.0675006975,,,,,,,,,,,12.86379530100349,12.86380169898709,8.490760999999996,7,8,-2.241027940367045,-2.2410279403670414,-2.5233976458603227,3.488231087862645,3.488231087862645,12.25083464398378,0.08218442167530839,0.08218442167530839,0.006662982060941466,90.0,90.0,119.99999999968105,3.44,21.36,0.304575,16,2,1.4611135,p,152.0,,15.999,8
mp-28553,Ca2IN,False,O:6,hexagonal,194,2.3575999999999997,185.0600138741729,-4.64149414625,34.0,37.0,0.14,-5.0,98.0,98.0,63.0,31.0,31.0,36.0,17.07505577185751,17.075058228198483,12.287575,7,7,-3.452386604203482,-3.4523866042034825,-2.7078058202287645,3.756833494335424,3.756833494335424,14.389193326526204,0.0708526511992365,0.0708526511992365,0.00482977728660148,90.0,90.0,120.00000000037906,3.04,18.13,0.26493,15,2,-1.4,p,155.0,92.0,14.007,7
mp-2251,Li3N,False,HB:8,hexagonal,191,0.9858000000000001,44.882564181701426,-3.879750775,39.0,52.0,0.23,11.0,123.0,123.0,137.0,17.0,17.0,48.0,12.580501119462092,12.58049888044912,6.919999999999999,3,7,-1.8869224836717464,-2.7561110886925073,-2.7561110886925064,3.608245858675367,3.608245858675367,3.8459194092684883,0.0768082298507804,0.0768082298507804,0.06760824167892632,90.0,90.0,120.00000000013445,3.04,18.13,0.26493,15,2,-1.4,p,155.0,92.0,14.007,7
mp-11714,SiC,False,T:4,hexagonal,186,2.2433000000000014,83.96318312307451,-7.53034970125,189.0,214.0,0.16,-54.0,490.0,490.0,533.0,158.0,158.0,193.0,10.322999211994565,10.323000788005553,10.990000000000002,7,6,-2.667398326768539,-2.66739832676854,-2.8149479219020788,3.0786619354057128,3.0786619354057128,10.07792174952509,0.10550571762172063,0.10550571762172063,0.009845959298281965,90.0,90.0,120.0000000004573,2.55,15.05,0.22477600000000003,14,2,1.262119,p,170.0,91.0,12.011,6
mp-13548,Cs2Pt,False,H:11,hexagonal,194,1.7066,242.32304168306024,-2.57532949,6.0,13.0,0.33,9.0,22.0,22.0,12.0,9.0,9.0,2.0,,,,5,78,-2.553960273332758,-2.5539602733327587,-2.3322282353935804,5.6286361774229805,5.6286361774229805,7.660444403832232,0.03156411700014946,0.03156411700014946,0.017040882032133803,90.0,90.0,119.99999999967801,2.2,10.16,0.25690999999999997,10,6,2.128,d,213.0,139.0,195.084,78
mp-24066,SrHClO,False,S:1,hexagonal,186,4.98,152.70963285126987,-5.102907535,19.0,38.0,0.28,-3.0,52.0,52.0,94.0,17.0,17.0,19.0,7.5543650214662215,7.554361978581319,6.138325,7,8,-1.7388763435517363,-1.249334034617828,-1.7388763435517367,4.10639711151657,4.10639711151657,9.846964063690331,0.059303197261779995,0.059303197261779995,0.010313244029772151,90.0,90.0,119.9999999994665,3.44,21.36,0.304575,16,2,1.4611135,p,152.0,,15.999,8
mp-31235,BaNaBi,False,TT_1:9,hexagonal,189,0.2354999999999996,341.99661670975325,-3.141221962222222,16.0,23.0,0.22,-8.0,39.0,39.0,48.0,20.0,20.0,14.0,22.123339293702568,22.12333870629561,28.661831,8,83,-3.1888301992378767,-3.1888301992378767,-3.968103546442483,8.566616927559991,8.566616927559991,5.0963364084659375,0.01362640541279268,0.01362640541279268,0.038502047371478616,90.0,90.0,119.9999999999975,1.9,11.9,0.182377,15,6,0.942362,p,206.99999999999997,170.0,208.9804,83
mp-11583,Zr2SN2,False,T:4,hexagonal,194,0.5637999999999996,148.8406558577737,-9.225783416999999,69.0,160.0,0.31,70.0,259.0,259.0,247.0,72.0,72.0,59.0,22.23038493340701,22.230374066592482,25.088832999999997,9,7,-4.165303041782846,-4.165303041782845,-3.22568964890398,3.594540554464656,3.594540554464656,12.720115246687598,0.07739505699895957,0.07739505699895957,0.006180418840346371,90.0,90.0,119.99999999989801,3.04,18.13,0.26493,15,2,-1.4,p,155.0,92.0,14.007,7
mp-558118,BeF2,False,L:2,hexagonal,180,8.088899999999999,112.86242238246197,-5.764312086666667,,,,,,,,,,,3.369087898791739,3.3690871012238595,3.4968360000000005,8,9,-1.5823344837082165,-0.6079372488583904,-0.6053864441326748,4.880576974713646,4.880576974713646,5.342966267518718,0.04198147242355895,0.04198147242355895,0.0350295965497542,90.0,90.0,120.00000000048131,3.98,24.8,0.344443,17,2,3.4011897000000006,p,147.0,,18.998403163,9
mp-1070,CdSe,False,T:4,hexagonal,186,0.5652,119.89336872302735,-2.828447295,15.0,44.0,0.35,23.0,66.0,66.0,72.0,13.0,13.0,15.0,12.413684291357029,12.413688708690556,13.012284999999999,3,34,-2.1764722492579516,-2.1764722492579507,-2.236748903084672,4.303027523239248,4.303027523239248,7.022451978582306,0.054007211218325205,0.054007211218325205,0.02027787510718981,90.0,90.0,120.00000000023837,2.55,14.34,0.2240328,16,4,2.02067,p,190.0,140.0,78.971,34
mp-27791,SrBe3O4,False,TL:3,hexagonal,190,4.1295,166.28811581633505,-6.8567035325,,,,,,,,,,,,,,15,8,-1.5378750806141686,-2.048133297780542,-1.970166219525957,4.5813866709114395,4.5813866709114395,8.891578679809585,0.04764376831785827,0.04764376831785827,0.012648593875380667,90.0,90.0,120.00000000034855,3.44,21.36,0.304575,16,2,1.4611135,p,152.0,,15.999,8
mp-2072,KTe,False,FO:7,hexagonal,194,0.6627000000000001,345.19151841912446,-2.96428555125,,,,,,,,,,,6.617999935711689,6.618000064288309,10.209999999999996,7,52,-1.0983958004374963,-1.098395800437498,-1.062182982305534,5.554738050297789,5.554738050297789,11.968970871861268,0.03240953748645019,0.03240953748645019,0.006980497563963545,90.0,90.0,119.999999999511,2.1,12.76,0.20569920000000003,16,5,1.9708759999999999,p,206.0,160.0,127.6,52
